Price,Link,CPU Name,CPU Lithography,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,CPU Cache,Base Power,Max Power,CPU Series,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,IGPU Cloock,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Resolution,Display Frequency,Display Color,OS,Warrant
85999000,https://hacom.vn/laptop-dell-mobile-precision-workstation-7680-vpro-71024676-i9-13950hx-32gb-ram-1tb-ssd-rtx2000-ada-8gb-16-inch-fhd-win-11-pro-xam,i9-13950HX,7,24.0,32.0,36,5.5,5.5,1,36,55,157,9,64GB,DDR5,5.0,1TB,SSD,,,,1,0,0,IPS,16-INCH,1920X1200,60HZ,45% NTSC,11,36
12999000,https://hacom.vn/laptop-acer-aspire-3-a315-59-51x8-nx.k6tsv.00f-core-i5-1235u-8gb-ram-512gb-ssd-15.6-inch-fhd-win-11-bac,i5-1235U,7,10.0,12.0,12,4.4,4.4,1,12,15,55,5,32GB,DDR4,5.0,512GB,SSD,,,,1,0,0,LCD,15.6-INCH,1920x1080,,,11,12
49999000,https://hacom.vn/laptop-lenovo-yoga-9-pro-14irp9-83bu002xvn-i9-13905h-32gb-ram-1tb-ssd-14.5-3k-rtx4060-8gb-win11-office-h-amp-s-xanh,i9-13905H,7,14.0,20.0,24,5.4,5.4,1,24,45,115,9,32GB,LPDDR5,5.0,1TB,SSD,4060,8,,0,0,1,LED,"14.5""",3072X1920,165HZ,100% SRGB,11,36
40999000,https://hacom.vn/microsoft-surface-surface-pro-9-i7-1255u-16gb-ram-256gb-ssd-13-win11-bac-bao-hanh-tai-hacom,i7-1255U,7,10.0,12.0,12,4.7,4.7,1,12,15,55,7,16GB,,5.0,256GB,SSD,,,,1,0,0,,13 INCH,,,,11,12
32999000,https://hacom.vn/laptop-asus-zenbook-ux3405ma-pp152w,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,32GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,IPS,14.0-INCH,2880 X 1800,,,11,24
23999000,https://hacom.vn/laptop-hp-probook-450-g10-9h1n8pt-i5-1335u-16gb-ram-512gb-ssd-15.6-fhd-rtx2050-4gb-win11-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,12,15,55,5,16 GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"15.6""",1920 X 1080,,45% NTSC,11,12
21989000,https://hacom.vn/laptop-acer-travelmate-p4-tmp414-51-50hx-nxvp2sv00t-win-11-xanh-nhom,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,8,12,28,5,32GB,DDR4,4.0,512GB,SSD,,,,1,0,0,IPS,14.0 INCH,1920x1080,,,0,
22490000,https://hacom.vn/laptop-msi-modern-15-h-c13m-216vn-i7-13700h-16gb-ddr4-ssd-1tb-pcie-vga-onboard-15.6-fhd-ips-win11,i7-13700,7,16.0,24.0,30,1.5,5.1,1,30,65,219,7,16GB,DDR4,5.0,1TB,SSD,,,,1,0,0,IPS,"15.6""",1920x1080,,,11,24
29499000,https://hacom.vn/laptop-lenovo-thinkpad-p16s-g1-21bt005sva-i5-1240p-24gb-ram-512gb-ssd-16-wuxga-t550-4gb-dos-den,i5-1240P,7,12.0,16.0,12,4.4,4.4,1,12,28,64,5,32GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"16""",1920X1200,60HZ,100% SRGB,0,36
18999000,https://hacom.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn005kva-i5-1335u-16gb-ram-512gb-ssd-16-wuxga-dos-den,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,12,15,55,5,16GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"16""",1920X1200,,45% NTSC,0,24
22799000,https://hacom.vn/laptop-asus-vivobook-s3405va-km071w-i9-13900h-16gb-ram-512gb-ssd-14-2.8k-oled-win11-den,i9-13900,7,24.0,32.0,36,1.5,5.2,1,36,65,219,9,16GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"14""",2880 X 1800,90HZ,DCI-P3:100%,11,24
28499000,https://hacom.vn/laptop-lenovo-yoga-slim-7-14imh9-83cv001vvn-ultra7-155h-32gb-ram-1tb-ssd-14-wuxga-win11-office-h-s-xam,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,32GB,DDR5,5.0,1TB,SSD,,,,1,0,0,IPS,"14""",1920X1200,60HZ,100% DCI-P3,0,24
26499000,https://hacom.vn/laptop-acer-swift-go-ai-gen-2-sfg14-73-71zx-nx.kslsv.002-ultra-7-155h-16gb-ram-512gb-ssd-14.0-inch-ips-2.8k-win11-bac-vo-nhom-2024,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,32GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,IPS,14.0-INCH,2560x1440,120HZ,SRGB100%,11,12
44999000,https://hacom.vn/laptop-lenovo-yoga-9-14imh9-83ac000svn-ultra7-155h-16gb-ram-1tb-ssd-14-2.8k-cam-ung-win11-office-h-s-xanh,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,16GB,LPDDR5,5.0,1TB,SSD,,,,1,0,0,IPS,"14""",2880X1800,120HZ,100% DCI-P3,0,24
26799000,https://hacom.vn/laptop-asus-zenbook-ux3405ma-pp151w,125H,0,14.0,18.0,18,0.7,4.5,1,18,28,115,5,16GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,IPS,14.0-INCH,2880 X 1800,,,11,24
21499000,https://hacom.vn/laptop-dell-inspiron-14-7430-2-in-1-cn29d-i7-1355u-16gb-ram-1tb-ssd-14.0-inch-fhd-cam-ung-win11-bac-vo-nhom-nk_bao-hanh-tai-hacom,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,12,15,55,7,16GB,LPDDR5,5.0,1TB,SSD,,,,1,0,0,IPS,14.0-INCH,1920X1200,,,11,
27999000,https://hacom.vn/laptop-lenovo-yoga-slim-7-14imh9-83cv001uvn-ultra7-155h-32gb-ram-512gb-ssd-14-wuxga-win11-office-h-s-xam,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,32GB,DDR5,5.0,512GB,SSD,,,,1,0,0,IPS,"14""",1920X1200,60HZ,100% DCI-P3,0,24
43999000,https://hacom.vn/laptop-lenovo-thinkpad-x1-carbon-gen-11-21hm009pvn-i7-1355u-16gb-ram-512gb-ssd-14-wuxga-win11-pro-den,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,12,15,55,7,16GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,IPS,"14""",1920X1200,,100% SRGB,11,36
20599000,https://hacom.vn/laptop-hp-probook-450-g10-9h1n5pt-i5-1335u-16gb-ram-512gb-ssd-15.6-fhd-win11-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,12,15,55,5,16 GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"15.6""",1920 X 1080,,45% NTSC,11,12
44990000,https://hacom.vn/laptop-msi-prestige-16-studio-a13ve-214vn-i7-13700h-16gb-ram-1tb-ssd-rtx4050-6g-16.0-inch-qhd-165-win11-xam-vo-nhom,i7-13700,7,16.0,24.0,30,1.5,5.1,1,30,65,219,7,16GB,LPDDR5,5.0,1TB,SSD,,,,1,0,0,IPS,16.0-INCH,2560X1600,165HZ,,11,
21499000,https://hacom.vn/laptop-hp-pavilion-15-eg3112tu-8u6l9pa-i7-1355u-16gb-ram-512gb-ssd-15.6-fhd-win11-bac,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,12,15,55,7,16GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"15.6""",1920 X 1080,60HZ,",45% NTSC",11,
23990000,https://hacom.vn/laptop-msi-modern-15-a11m-1023vn-i5-1155g7-8gb-ram-512gb-ssd-15.6-inch-fhd-win11-vo-nhom-xam,i5-1155G7,10,4.0,8.0,8,1.0,4.5,1,8,12,28,5,64GB,DDR4,4.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920x1080,60HZ,,0,
58999000,https://hacom.vn/laptop-asus-zenbook-duo-ux8406ma-pz142w-ultra9-185h-32gb-ram-1tb-ssd-14-3k-cam-ung-win11-xam-but-tui-cap,185H,0,16.0,22.0,24,1.8,5.1,1,24,45,115,9,32GB,LPDDR5,5.0,1TB,SSD,,,,1,0,0,IPS,14 INCH,2880 X 1800,120HZ,100% DCI-P3,11,24
14999000,https://hacom.vn/laptop-lenovo-ideapad-slim-3-15iah8-83er000fvn-i5-12450h-16gb-ram-1tb-ssd-15.6-fhd-win11-xam,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,12,45,95,5,16GB,LPDDR5,5.0,1TB,SSD,,,,1,0,0,IPS,"15.6""",1920X1080,,,11,24
21999000,https://hacom.vn/laptop-asus-vivobook-a1505va-l1201w-i9-13900h-16gb-ram-512gb-ssd-15.6-oled-win11-den,i9-13900,7,24.0,32.0,36,1.5,5.2,1,36,65,219,9,16GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,15.6 INCH,1920 X 1080,60HZ,100% DCI-P3,11,24
18999000,https://hacom.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn0062va-i5-1335u-8gb-ram-512gb-ssd-16-wuxga-dos-den,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,12,15,55,5,8GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"16""",1920X1200,,45% NTSC,0,24
26999000,https://hacom.vn/laptop-lenovo-thinkpad-t14-gen-4-i5-1335u-16gb-ram-512gb-ssd-14-wuxga-dos-den,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,12,15,55,5,48GB,DDR5,5.0,512GB,SSD,,,,1,0,0,IPS,14.0INCH,1920X1200,60HZ,,0,36
25489000,https://hacom.vn/laptop-acer-travelmate-p4-tmp414-51g-59r6-nxvp9sv001-win-11-xanh-nhom,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,8,12,28,5,32GB,DDR5,4.0,512GB,SSD,,,,1,0,0,IPS,14.0 INCH,1920x1080,,,0,
15999000,https://hacom.vn/laptop-hp-15-fd0237tu-9q972pa-i5-1334u-8gb-ram-512gb-ssd-15.6-fhd-win11-bac,i5-1334U,7,10.0,12.0,12,4.6,4.6,1,12,15,55,5,8GB,DDR4,5.0,512GB,SSD,,,,1,0,0,,15.6INCH,1920X1080,,45% NTSC,11,12
20499000,https://hacom.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn00fkva-i5-13500h-16gb-ram-512gb-ssd-16-wuxga-dos-den,i5-13500,7,14.0,20.0,24,1.8,4.8,1,24,65,154,5,48GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"16""",1920X1200,,45% NTSC,0,24
22999000,https://hacom.vn/laptop-lenovo-yoga-6-14irh8-83e0000vvn-i7-13700h-16gb-ram-512gb-ssd-14-wuxga-oled-win11-office-h-amp-s-xam,i7-13700,7,16.0,24.0,30,1.5,5.1,1,30,65,219,7,16GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,IPS,"14""",1920X1200,60HZ,100% DCI-P3,11,36
23499000,https://hacom.vn/laptop-hp-probook-440-g10-9h8u9pta-i7-1355u-16gb-ram-512gb-ssd-14-fhd-win11-bac,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,12,15,55,7,32GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,"14""",1920X1080,,45% NTSC,11,12
25999000,https://hacom.vn/laptop-lenovo-ideapad-slim-5-16imh9-83dc001svn-core-ultra7-155h-32gb-ram-512gb-ssd-16-oled-2k-win11-xam,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,32GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,OLED,"16""",2048X1280,120HZ,100% DCI-P3,11,24
22699000,https://hacom.vn/laptop-asus-vivobook-tp3402va-lz118w-i9-13900h-16gb-ram-512gb-ssd-14-cam-ung-win11-bac,i9-13900,7,24.0,32.0,36,1.5,5.2,1,36,65,219,9,16GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,14.0-INCH,1920 X 1200,,45% NTSC,11,24
96999000,https://hacom.vn/laptop-dell-mobile-precision-workstation-5680-vpro-enterprise-71024680-i9-13900h-32gb-ram-1tb-ssd-rtx2000-ada-8gb-16-inch-fhd-win-11-pro-xam,i9-13900,7,24.0,32.0,36,1.5,5.2,1,36,65,219,9,64 GB,DDR5,5.0,1TB,SSD,,,,1,0,0,IPS,16-INCH,1920X1200,60HZ,100% DCI-P3,11,36
19499000,https://hacom.vn/laptop-acer-aspire-7-a715-76-728x-nh.qgesv.008-i7-12650h-16gb-ram-512gb-ssd-15.6-inch-fhd-win11-den-2023,i7-12650H,7,10.0,16.0,24,4.7,4.7,1,24,45,115,7,32GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920 X 1080,60HZ,,11,12
21999000,https://hacom.vn/laptop-acer-aspire-5-a515-58m-951t-nx.kq8sv.001-i9-13900h-16gb-ram-512gb-ssd-15.6-inch-fhd-ips-win11-xam-2023,i9-13900,7,24.0,32.0,36,1.5,5.2,1,36,65,219,9,16GB,LPDDR5,5.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920x1080,60HZ,",45% NTSC",11,12
84990000,https://hacom.vn/laptop-msi-creator-z16-hx-studio-b13vgto-062vn-i9-13950hx-64gb-ram-2tb-ssd-rtx4070-8g-16.0-inch-qhd-touch-win-10-xam-vo-nhom,i9-13950HX,7,24.0,32.0,36,5.5,5.5,1,36,55,157,9,64GB,DDR5,5.0,2TB,SSD,4070,12,,0,0,1,IPS,16.0-INCH,2560X1600,120HZ,,11,24
16499000,https://hacom.vn/laptop-acer-gaming-aspire-5-a515-58gm-53pz-nx.kq4sv.008-i5-13420h-8gb-ram-512gb-ssd-rtx2050-4gb-15.6-inch-fhd-win11-xam,i5-13420H,7,8.0,12.0,12,4.6,4.6,1,12,45,95,5,32GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920X1080,60HZ,,11,12
29599000,https://hacom.vn/laptop-msi-gaming-cyborg-15-ai-a1vek-053vn-core-ultra-7-155h-16gb-512gb-ssd-rtx-4050-6gb-15.6-inch-fhd-144hz-ips-win11-den-2024,155H,0,16.0,22.0,24,0.9,4.8,1,24,28,115,7,16GB,DDR5,5.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920X1080,144HZ,,11,24
45999000,https://hacom.vn/laptop-gigabyte-gaming-aorus-17-bkf-73vn254sh-i7-13700h-16gb-ram-1tb-ssd-rtx4050-6g-17.3-inch-fhd-144hz-win-11-den,i7-13700,7,16.0,24.0,30,1.5,5.1,1,30,65,219,7,64GB,DDR5,5.0,1TB,SSD,4060,8,,0,0,1,IPS,17.3-INCH,1980 X 1080,144HZ,100% SRGB,11,
135099000,https://hacom.vn/laptop-msi-gaming-gt77-titan-12uhs-204vn-win11-den-2022,i9-12900,7,16.0,24.0,30,1.8,5.0,1,30,65,202,9,128GB,DDR5,5.0,128GB,SSD,3080,12,,0,0,1,IPS,"17.3""",3840X2160,120HZ,100% DCI-P3,11,24
80299000,https://hacom.vn/laptop-do-hoa-conceptd-7-ezel-cc715-71-7940-nxc5esv002-trang,i7-10875H,14,8.0,16.0,16,2.3,5.1,1,16,35,45,7,32GB,DDR4,4.0,1TB,SSD,2060,12,,0,0,1,IPS,15.6 INCH,3840 X 2160,,,0,
64990000,https://hacom.vn/laptop-msi-gaming-stealth-16-ai-studio-a1vgg-089vn-core-ultra-9-185h-32gb-ram-2tb-ssd-rtx4070-8gb-16.0-inch-qhd-240hz-win11-xanh-2024,185H,0,16.0,22.0,24,1.8,5.1,1,24,45,115,9,32GB,DDR5,5.0,2TB,SSD,4070,12,,0,0,1,IPS,16.0-INCH,2560X1600,240HZ,100% DCI-P3,11,36
97999000,https://hacom.vn/laptop-lenovo-legion-pro-7-16irx9h-83de001mvn-i9-14900hx-32gb-ram-1tb-ssd-16-wqxga-240hz-rtx-4090-16g-win11-den,i9-14900,7,24.0,32.0,36,1.5,5.4,1,36,65,219,9,32GB,DDR5,5.0,1TB,SSD,4090,24,,0,0,1,IPS,"16""",2560X1600,240HZ,100% DCI-P3,11,24
63999000,https://hacom.vn/laptop-asus-gaming-rog-zephyrus-gu605mv-qr135w-core-ultra-9-185h-32gb-ram-1tb-ssd-16-qhd-240hz-rtx-4060-8ggb-win11-xam-tui,185H,0,16.0,22.0,24,1.8,5.1,1,24,45,115,9,32GB,LPDDR5,5.0,1TB,SSD,4060,8,,0,0,1,IPS,"16""",2560X1600,240HZ,,11,24
56999000,https://hacom.vn/laptop-hp-envy-16-h0206tx-7c0t3pa-i9-12900h-16gb-ram-512gb-ssd-16-uhd-oled-rtx3060-6gb-win11-bac,i9-12900,7,16.0,24.0,30,1.8,5.0,1,30,65,202,9,32GB,DDR5,5.0,512GB,SSD,3060,12,,0,0,1,OLED,"16""",3840 X 2400,,100% DCI-P3,11,12
68990000,https://hacom.vn/laptop-msi-creator-z17-a12ugst-051vn-xam-2022,i9-12900,7,16.0,24.0,30,1.8,5.0,1,30,65,202,9,64GB,DDR4,5.0,2TB,SSD,3070,8,,0,0,1,IPS,17 INCH,2560x1440,165HZ,DCI-P3 100%,11,24
93999000,https://hacom.vn/laptop-msi-gaming-stealth-18-ai-studio-a1vhg-xxx-core-ultra-9-185h-32gb-ram-2tb-ssd-rtx4080-12g-18.0-inch-miniled-120hz-win11-den-2024,185H,0,16.0,22.0,24,1.8,5.1,1,24,45,115,9,32GB,DDR5,5.0,2TB,SSD,4080,16,,0,0,1,IPS,18.0-INCH,3840X2400,120HZ,100% DCI-P3,11,36
26769000,https://hacom.vn/laptop-asus-gaming-rog-strix-g512-ial001t-den,i7-10750H,14,6.0,12.0,12,2.6,5.0,1,12,35,45,7,8GB,DDR4,4.0,512GB,SSD,,,,1,0,0,IPS,15.6 INCH,1920X1080,144HZ,SRGB:67%,10,
52019000,https://hacom.vn/laptop-do-hoa-conceptd-3-ezel-pro-cc314-72p-75eg-nxc5ksv001-trang,i7-10750H,14,6.0,12.0,12,2.6,5.0,1,12,35,45,7,16GB,DDR4,4.0,1TB,SSD,,,,1,0,0,IPS,14 INCH,1920x1080,60HZ,,0,
49989000,https://hacom.vn/laptop-workstation-hp-zbook-15-g5-3ax12av-i7-8750h-16gb-ram-256gb-ssd-quadro-p2000-156-fhd-dos,i7-8750H,14,6.0,12.0,9,1.7,4.1,1,9,35,45,7,16GB,DDR4,4.0,256GB,SSD,,,,1,0,0,IPS,15.6,1920X1080,,,0,
99999000,https://hacom.vn/laptop-asus-gaming-rog-strix-scar-g634jzr-nm009w-i9-14900hx-64gb-ram-2tb-ssd-16-qhd-240hz-rtx-4080-12gb-win11-den-balo-chuot,i9-14900,7,24.0,32.0,36,1.5,5.4,1,36,65,219,9,64GB,DDR5,5.0,2TB,SSD,4080,16,,0,0,1,IPS,16-INCH,2560 X 1600,240HZ,100% DCI-P3,11,24
21999000,https://hacom.vn/laptop-gigabyte-g5-kf5-53vn383sh-i5-13500h-8gb-512gb-ssd-rtx-4050-6gb-15.6fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,1,24,65,154,5,64GB,DDR5,5.0,512GB,SSD,,,,1,0,0,IPS,15.6 INCH,1920X1080,144HZ,72% NTSC,11,24
26999000,https://hacom.vn/laptop-asus-gaming-tuf-fx507vu-lp198w-i7-13620h-8gb-ram-512gb-ssd-15.6-fhd-144hz-rtx4050-6gb-win11-xam,i7-13620H,7,10.0,16.0,24,4.9,4.9,1,24,45,115,7,32GB,DDR5,5.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920 X 1080,144HZ,,11,24
59999000,https://hacom.vn/laptop-asus-gaming-rog-strix-scar-g814jir-n6007w-i9-14900hx-32gb-ram-1tb-ssd-18-wqxga-240hz-rtx-4070-8gb-win11-xam-balo,i9-14900,7,24.0,32.0,36,1.5,5.4,1,36,65,219,9,32GB,DDR5,5.0,1TB,SSD,4070,12,,0,0,1,IPS,18-INCH,2560 X 1600,240HZ,100% DCI-P3,11,24
29799000,https://hacom.vn/laptop-asus-gaming-tuf-fx507vv-lp157w-i7-13620h-16gb-ram-512gb-ssd-15.6-fhd-144hz-rtx-4060-8gb-win11-xam,i7-13620H,7,10.0,16.0,24,4.9,4.9,1,24,45,115,7,32GB,DDR5,5.0,512GB,SSD,4060,8,,0,0,1,IPS,15.6-INCH,1920 X 1080,144HZ,SRGB 100%,11,24
22490000,https://hacom.vn/laptop-msi-gaming-cyborg-15-a12ve-240vn-i7-12650h-8gb-512gb-ssd-rtx4050-6gb-15.6fhd-144hz-win11-den,i7-12650H,7,10.0,16.0,24,4.7,4.7,1,24,45,115,7,64GB,DDR5,5.0,512GB,SSD,,,,1,0,0,IPS,15.6 INCH,1920X1080,144HZ,,11,
19599000,https://hacom.vn/laptop-gigabyte-gaming-g5-mf-f2ph333sh-i5-12450h-8gb-ram-512gb-ssd-rtx4050-6g-15.6-inch-fhd-144hz-win-11-den,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,12,45,95,5,64GB,DDR4,5.0,512GB,SSD,,,,1,0,0,IPS,15.6-INCH,1920X1080,144HZ,",72% NTSC",11,24
24799000,https://hacom.vn/laptop-gigabyte-g5-kf5-53vn383sh-i5-13500h-8gb-512gb-ssd-rtx4060-8g-15.6fhd-144hz-win-11-den,i5-13500,7,14.0,20.0,24,1.8,4.8,1,24,65,154,5,64GB,DDR5,5.0,512GB,SSD,4060,8,,0,0,1,IPS,15.6 INCH,1920X1080,144HZ,72% NTSC,11,24
